scene,algorithm,photons,cycles
cornell,sppm,12500,3929561331
cornell,sppm,25000,5479215564
cornell,sppm,50000,7906276735
cornell,sppm,100000,13459316106
cornell,sppm,200000,24558693515
cornell,sppm,400000,44961408953
cornell,sppm,800000,87327986748
large,sppm,12500,3139568204
large,sppm,25000,3570962579
large,sppm,50000,4542544025
large,sppm,100000,6594634445
large,sppm,200000,10843158339
large,sppm,400000,18763013421
large,sppm,800000,35171389466
mirror,sppm,12500,4040797915
mirror,sppm,25000,4548427027
mirror,sppm,50000,5456322521
mirror,sppm,100000,7402010646
mirror,sppm,200000,11367157181
mirror,sppm,400000,20112536719
mirror,sppm,800000,35697111411
random,sppm,12500,14007190040
random,sppm,25000,15996543052
random,sppm,50000,19995846339
random,sppm,100000,27813543564
random,sppm,200000,43772416034
random,sppm,400000,75980418107
random,sppm,800000,138998734084
surgery,sppm,12500,6681576546
surgery,sppm,25000,7545229657
surgery,sppm,50000,9159537707
surgery,sppm,100000,12417643102
surgery,sppm,200000,19134703330
surgery,sppm,400000,32218298538
surgery,sppm,800000,58919007645
